Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_Salary_Increment,Distance_from_Home,Travel_Rate,Workload_Index,Pay_Scale,Compensation_and_Benefits,Post_Level,Growth_Rate,VAR2,VAR3,VAR4,Yearly_Trainings,Weekly_Over_Time,Work_Life_Balance,Attrition_rate,,,,,
EID_11326,F,42,3,Married,Springfield,Quality,Directive,16,3,68,1,2,5,type2,4,4,0.7516,0.7075,2,3,6,4,0.793,,,,,
EID_17331,F,24,4,Married,Springfield,IT,Analytical,5,1,22,1,2,4,type2,4,3,-0.1048,0.7075,2,3,8,3,0.2778,,,,,
EID_13746,F,35,4,Single,Lebanon,R&D,Analytical,10,4,66,1,2,6,type3,1,1,-0.9612,-0.4537,2,2,8,5,0.681,,,,,
EID_17915,M,30,3,Single,Washington,Logistics,Conceptual,1,1,56,1,4,6,type2,4,3,-0.1048,-0.4537,3,3,9,2,0.596,,,,,
EID_3757,F,64,2,Married,Franklin,R&D,Analytical,27,3,70,1,3,7,type3,5,4,-1.8176,-2.7762,,4,9,3,0.9212,,,,,
EID_16590,F,23,3,Married,Franklin,Human Resource Management,Conceptual,4,4,56,1,3,4,type3,1,4,1.6081,0.7075,2,4,8,4,0.5872,,,,,
EID_14781,M,27,3,Married,Lebanon,Sales,Directive,5,4,23,0,2,9,type3,3,2,,-0.4537,2,3,8,3,0.3664,,,,,
EID_11609,F,32,4,Single,Franklin,Logistics,Directive,9,2,28,1,3,6,type3,4,5,-1.8176,-0.4537,2,4,8,4,0.421,,,,,
EID_15157,F,25,1,Married,Springfield,Logistics,Behavioral,6,2,58,2,5,6,type2,1,3,0.7516,0.7075,,2,7,3,0.6905,,,,,
EID_25941,F,47,5,Married,Lebanon,IT,Conceptual,14,2,21,1,2,6,type3,1,4,-0.1048,0.7075,,4,7,4,0.2335,,,,,
EID_19128,F,20,3,Married,Springfield,Accounting and Finance,Conceptual,1,1,48,0,5,8,type3,2,4,0.7516,0.7075,1,2,7,3,0.2449,,,,,
EID_21349,F,34,3,Married,Franklin,IT,Behavioral,18,2,34,1,3,8,type2,3,4,0.7516,-0.4537,1,2,5,2,0.1075,,,,,
EID_6992,F,52,3,Married,Lebanon,R&D,Conceptual,30,1,50,1,3,4,type3,2,1,0.7516,-0.4537,2,3,5,3,0.2738,,,,,
EID_11585,M,32,1,Married,Springfield,R&D,Conceptual,5,4,26,0,2,6,type2,1,3,-0.1048,-0.4537,2,3,6,4,0.0749,,,,,
EID_14483,M,25,4,Married,Lebanon,Sales,Directive,6,2,31,1,4,4,type2,4,3,0.7516,-0.4537,2,2,7,4,0.1564,,,,,
EID_10630,M,35,5,Single,Lebanon,Sales,Behavioral,6,1,26,1,3,8,type3,1,2,-0.1048,-0.4537,1,2,9,3,0.2735,,,,,
EID_21339,F,25,3,Single,Lebanon,Marketing,Analytical,6,4,74,2,3,7,type3,1,3,0.7516,-0.4537,1,3,6,3,0.0112,,,,,
EID_22747,M,60,3,Married,Springfield,R&D,Analytical,30,2,68,1,5,5,type3,3,4,-0.1048,-1.615,3,3,8,3,0.1132,,,,,
EID_22522,F,22,4,Married,Washington,Marketing,Directive,3,3,23,2,5,4,type2,2,2,1.6081,-1.615,2,3,8,3,0.0233,,,,,
EID_20661,F,47,4,Single,Lebanon,Human Resource Management,Behavioral,20,4,68,1,3,6,type3,1,3,,-0.4537,1,2,8,3,0.1457,,,,,
EID_5785,M,55,4,Single,Lebanon,R&D,Behavioral,32,2,49,1,3,9,type2,1,3,-0.1048,-0.4537,2,2,8,3,0.0831,,,,,
EID_4538,F,57,4,Single,Lebanon,Human Resource Management,Behavioral,26,4,67,1,3,4,type3,3,3,-1.8176,0.7075,2,3,8,5,0.198,,,,,
EID_16354,M,29,3,Married,Clinton,IT,Analytical,5,1,44,1,3,2,type2,1,1,,-0.4537,,5,7,3,0.123,,,,,
EID_7005,M,47,1,Single,Washington,Sales,Conceptual,23,1,74,1,3,5,type4,4,1,0.7516,-0.4537,1,3,7,3,0.1312,,,,,
EID_7993,F,50,5,Single,Lebanon,Production,Conceptual,24,3,71,2,4,7,type2,3,3,-1.8176,0.7075,2,4,6,1,0.2563,,,,,
EID_25818,F,22,5,Single,Franklin,IT,Directive,3,3,62,1,2,9,type2,2,4,-0.1048,0.7075,2,3,8,4,0.1736,,,,,
EID_16509,M,22,4,Single,Lebanon,Logistics,Analytical,3,2,62,1,2,8,type3,1,4,,-1.615,2,3,5,2,0.1159,,,,,
EID_20364,M,32,3,Married,Springfield,Marketing,Conceptual,3,3,72,2,3,8,type2,3,3,0.7516,-0.4537,2,1,5,3,0.7537,,,,,
EID_5512,M,32,3,Married,Lebanon,Logistics,Behavioral,8,1,34,0,2,2,type2,2,3,1.6081,0.7075,2,4,6,3,0.2228,,,,,
EID_17359,M,22,3,Married,Springfield,IT,Conceptual,3,2,27,2,3,6,type2,4,3,0.7516,0.7075,1,3,7,3,0.032,,,,,
EID_12137,M,35,4,Single,Franklin,Logistics,Directive,6,2,31,1,3,4,type3,4,3,-0.1048,0.7075,2,4,6,3,0.1195,,,,,
EID_17186,F,23,1,Single,Franklin,Marketing,Analytical,4,2,30,0,3,8,type2,1,4,-1.8176,0.7075,2,3,7,3,0.1439,,,,,
EID_17523,F,25,4,Married,Springfield,Security,Behavioral,6,2,49,0,3,5,type2,2,3,-0.1048,1.8688,2,2,8,4,0.3682,,,,,
EID_8684,M,24,4,Single,Clinton,Quality,Behavioral,27,1,28,1,3,4,type3,1,3,-1.8176,0.7075,1,2,5,3,0.0739,,,,,
EID_5162,M,47,5,Single,Lebanon,Logistics,Conceptual,15,1,47,1,3,5,type3,2,3,0.7516,-0.4537,2,3,8,3,0.0822,,,,,
EID_12888,M,28,1,Married,Lebanon,Operarions,Behavioral,6,2,52,0,1,8,type2,3,3,-0.1048,0.7075,2,3,6,3,0.227,,,,,
EID_6617,M,53,3,Married,Lebanon,IT,Conceptual,18,1,48,0,3,4,type3,2,2,-0.1048,0.7075,3,2,6,5,0.0946,,,,,
EID_21714,F,28,3,Single,Franklin,Production,Conceptual,5,4,55,0,4,6,type3,2,3,,-2.7762,2,3,6,3,0.1069,,,,,
EID_8534,M,43,3,Single,Springfield,R&D,Conceptual,13,1,57,1,4,1,type2,5,2,0.7516,0.7075,,2,5,3,0.222,,,,,
EID_21410,M,60,2,Married,Lebanon,Logistics,Analytical,23,4,38,0,4,4,type4,4,3,-0.1048,-0.4537,2,3,7,3,0.0579,,,,,
EID_10341,M,41,1,Single,Franklin,Sales,Conceptual,8,4,65,1,3,4,type2,2,3,0.7516,-1.615,1,3,9,3,0.3883,,,,,
EID_9126,M,47,4,Married,Springfield,Logistics,Directive,10,3,50,1,2,7,type3,1,3,-1.8176,-1.615,2,2,7,3,0.1975,,,,,
EID_10943,M,43,3,Married,Springfield,Production,Analytical,6,1,22,0,2,7,type0,3,3,-0.9612,-0.4537,3,2,7,3,0.4788,,,,,
